FoodLicID,COMMENTS,LOCATIONCOMMENTS,LicenseFK,LicenseID
186,No Transfer of ownership  Ch 1161  Acts of l973  License originally issued 1985,BOSTON METROPOLITAN POST NO. 1 AMVETS  INC. - IN ONE ROOM FIRST FLOOR  ONE ROOM BASEMENT  STORAGE IN BASEMENT. CAPACITY BREAKDOWN: 1st FL - 70; BASEMENT - 29.,7255,LB-98836
187,NONE,17 Union St. In two rooms used for dining and lounge on the first floor  kitchen in rear; storage in basement.,7256,LB-98993
188,CAPACITY BREAKDOWN:13 PERSONS -INTERIOR ONLY BAR STOOLS; 16 PERSONS- LOUNGE SEATS; 49 PERSONS - PLATFORM SEATS; 24 PERSONS - PRIVATE A SEATS; 16 PERSONS - PRIVATE B SEATS; 102 PERSONS - MAIN DINING SEATS; 72 PERSONS-EXTERIOR PATIO SEATS.,IN ONE (1) ROOM IN THE LOBBY OF ONE INTERNATIONAL PLACE INCLUDING KITCHEN AND STORAGE; ENTRANCES/EXITS TO INTERNATIONAL PLACE LOBBY AND TO OLIVER STREET.  INCLUDES OUTDOOR SEATING ON PRIVATE PROPERTY FOR 72 PATRONS FROM 10:00 A.M. - MIDNIGHT.  ONE INTERNATIONAL PLACE  BOSTON  MA  02110,7257,LB-99007
189,NONE,IN ONE ROOM AND MEZZANINE ON FIRST FLOOR WITH KITCHEN IN REAR; STORAGE AND FUNCTION ROOM IN THE BASEMENT.  CAPACITY BREAKDOWN: UPPER LEVEL - 277; LOWER LEVEL - 100.,7258,LB-98913
190,Seasonal patio to be closed by 9:00 PM.,In three rooms  kitchen and stockroom on the first floor with seasonal patio.,7259,LB-99013
191,Alcoholic beverages to be servedonly in conjunction with food.,Two connected rooms with entrances on Boston Street - Kitchen on the first floor  outside patio  and basement for stock.,7260,LB-99349
192,Higginson rm. A. 831 cap.  room. B. 190 cap.  room C 131 cap. Goldberg room A-153 cap. room B-Kobb 97 cap.  Misc. Hall 2 632 cap.  Cabot -Cashmere room 583 cap.  Misc. Hall Chorus room  70 cap.  Hatch room 563 cap.Total of 5 250 capacity.,IN WHOLE OF SAID BUILDING: TO INCLUDE AUDITORIUM  1ST GALLERY  PLATFORM  BANQUET SEATING  FUNCTION ROOM  CHORUS ROOM  HIGGINSON ROOM  COHEN ANNEX AND 1ST BALCONY RECEPTION ROOM   AND TO INCLUDE AN ADDITIONAL SEVEN ROOMS.,7261,LB-99106
193,NONE,"Tenant space ""D"" in one (1) room with dining area  bar  kitchen  storage  two (2) street level entrances and three (3) street level exits with seasonal patio (April-October)  on private property with 11pm closing hour on the patio.",7262,LB-99044
194,499 PERSONS TOTAL; UPPER LEVEL BARGE B 203-106 PERSONS; B 203 OUTSIDE DECK-20 PERSONS; B 202 SERVERY-30 PERSONS; LOWER LEVEL BARGE B 120 EXTERIOR-34 PERSONS; B 102 EXTERIOR SPACE-34 PERSONS; B 124 THEATER-68 PERSONS; EXTERIOR DECK AND BOATS-207 PERSONS; PIER ASSEMBLY ROOM #1-70 PERSONS; PIER ASSEMBLY ROOM #2-70 PERSONS; HISTORIC FLOATING MARITIME EXHIBITS,NONE,7263,LB-99127
195,THE BOARD GRANTED PERMISSION TO OPEN AND SERVE ALCOHOLIC BEVERAGES ON SUNDAYS AT 10:00 A.M. AS PART OF THEIR REGULAR BRUNCH SERVICE.,5160 SQUARE FEET IN 2 ROOMS ON GROUND FLOOR; FRONT ROOM FOR DINING AND BAR WITH KITCHEN IN BACK ROOM.  MAIN ENTRANCE AND EMERGENCY EXITS ON WASHINGTON STREET; AND INCLUDING SEASONAL OUTDOOR PATIO WITH 29 SEATS ON CITY SIDEWALK AREA BETWEEN THE HOURS OF 11:00 A.M. - 10:00 P.M. SUNDAY & MONDAY & 11:00,7264,LB-99428
196,NONE,IN WHOLE OF SAID BUILDING; AND TO INCLUDE AN OUTSIDE SEASONAL TERRACE/PATIO FROM APRIL THROUGH OCTOBER FOR 24 PATRONS BETWEEN THE HOURS OF 8:00 A.M. - 11:00 P.M. EXCEPTING THEREFROM 1250 SQUARE FEET OF RETAIL SPACE ON FIRST FLOOR OF CORNER OF NORTH AND BLACKSTONE STREET.,7265,LB-101630
197,Restricted license.,In one room on the first floor with storage in the rear. Including an outdoor seasonal patio for eight patrons between the hours of 8:00 a.m. - 9:00 p.m.,7266,LB-125807
198,,Enlarge licensed premises by approximately 584 S.F (to recapture portion of premises previously sublet to retail coin shop)  increase occupancy from 249 to 275 persons; new space to be occupied by Ziggy's Coffee Bar with separate main entry by day and as additional seating for Beantown Pub by night;,7267,LB-99273
199,Approval of a Dress Code for Licensed Premises. LICENSING BOARD GRANTED PERMISSION TO PROVIDE BOTTLE SERVICE ON THE PREMISES.,BASEMENT LEVELthe whole incl. lobby  storage & upper seating level Cap:275. lst Floor the whole lst fr-incl. storage kitchen Cap:400. 2nd Floor the whole of 2nd fr Cap:300 also to include room on 2nd flr of 3 Boylston Pl with no increase in capacity & an outdoor caf on Boylston Pl with 35 persons.,7268,LB-99325
200,1:00 A.M. CLOSING: SUNDAY - WEDNESDAY 2:00 A.M. CLOSING: THURSDAY/FRIDAY/SATURDAY,IN ONE ROOM ON THE FIRST FLOOR  KITCHEN AND STORAGE IN THE REAR; ONE ROOM ON LOWER LEVEL; AND TO INCLUDE AN ANNUAL OUTDOOR PATIO FOR 24 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.  RESTAURANT/BAR/LOUNGE/PATIO :311 DINING ROOM: 27 PERSONS LOUNGE: 24 PERSONS BAR/DINING ROO,7269,LB-99377
201,No transfer of ownership  Ch 1161  Acts of l973  License originally issued l976,IN WHOLE OF SAID BUILDING.,7270,LB-98832
202,1) FOOD AVAILABLE AT ALL TIMES. 2) MECHANICAL ENTERTAINMENT ONLY NO LIVE ENTERTAINMENT OR DANCING BY PATRONS. 3) OPEN ON SUNDAYS AT 11:00 A.M. FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH. PATIO CONDITIONS: 1) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.2) MUST BE STAFFED AT ALL TIMES.,IN TWO ROOMS ON THE FIRST FLOOR WITH KITCHEN; MAIN ENTRANCE ON BEACON STREET AND EXIT TO ALLEY IN REAR; OFFICE ON MEZZANINE; STORAGE IN BASEMENT AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 16 PATRONS FROM APRIL THROUGH OCTOBER.,7271,LB-99018
203,,4432  4434A Washington St.  rear entrance from yard for stock- Two rooms and kitchen first floor  cellar for stock- capacity 179 - an increase of 73 persons.,7272,LB-99288
204,NONE,Restaurant  1200 square feet of floor space located on the first floor of 2255 Dorchester Avenue  Boston  MA 02124-5624. Open kitchen (700 sq ft)  5 tables  standing bar. Seating area (300 sq ft) One bathroom  5 sinks (One bay sink  three hand wash sinks and one rinse sink). Also mop sink. One 200 s,7273,LB-154485
205,NONE,115 STUART STREET/8 PARK PLAZA - IN ONE ROOM ON THE FIRST FLOOR CONSISTING A RESTAURANT  BAR LOUNGE AREA  A DINING AREA  KITCHEN AND STORAGE ON THE FIRST FLOOR; ALSO SEASONAL OUTDOOR PATIO WITH CAPACITY OF 40.,7274,LB-98961
206,,LICENSEE KNOWN AS BRIGHTON MASS. LODGE # 2199 OF THE BENEVOLENT & PROTECTIVE ORDER OF ELKS IS IN WHOLE OF SAID BUILDING.  CAPACITY BREAKDOWN: FUNCTION ROOM - 143; MEMBERS' ROOM - 59; GUESTS' ROOM - 38.,7275,LB-98793
207,EXTENDED TO DAYS INN HOTEL ONLY FOR PURPOSE OF ROOM SERVICE WITHIN THE OPERATING HOURS OF THE LICENSE.,IN ONE ROOM ON FIRST FLOOR WITH KITCHEN  STORAGE  AND LOUNGE AREAS IN THE REAR  STORAGE IN THE BASEMENT.  PREMISES TO ALSO INCLUDE 117 ROOMS IN THE EXISTING HOTEL PREMISES FOR THE SERVICE OF FOOD AND ALCOHOLIC BEVERAGE.,7276,LB-99431
208,,IN ONE ROOM ON GROUND FLOOR; KITCHEN AND STORAGE IN THE REAR.,7277,LB-99173
209,SEASONAL PATIO OPERATINGHOURS ARE 11:00 AM - MIDNIGHT.,IN TWO ROOMS AND KITCHEN ON FIRST FLOOR  AND A PORTABLE BAR. CELLAR FOR STOCK  AND MAIN ENTRANCE ON BROAD STREET  INCLUDES AN OUTDOOR SEASONAL PATIO FOR 40 PATRONS ON BROAD STREET (CITY PROPERTY).,7278,LB-99342
210,NONE,In one room with kitchen and storage in rear; restrooms and storage in basement; main entrance and exits on West Broadway.,7279,LB-99304
211,1. No bar.  2. Malt and Wine with Liqueurs to be served only in conjunction with meals.,IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR; STORAGE IN REAR AND EXTEND THE DINING ROOM TO THE SECOND FLOOR.  CAPACITY BREAKDOWN: 1ST FL - 76; 2ND FL - 23.,7280,LB-99712
212,,3496 3498 WASHINGTON STREET; EMERGENCY EXIT FROM REAR OF DINING ROOM; BULKHEAD ENTRANCE TO CELLAR FOR STOCK - ONE LARGE ROOM AND KITCHEN FIRST FLOOR; CELLAR FOR STOCK.  Capacity breakdown: 35 seated  64 standing.,7281,LB-99281
213,NONE,IN ONE DINING ROOM WITH KITCHEN ON FIRST FLOOR; STORAGE AND PREP AREA IN BASEMENT.,7282,LB-99865
214,Close at midnight every night. All patrons out by 12:30 AM.,Side exit for emergency and stock leading to unnumbered exit on Garden Street; in one room and kitchen on first floor; one room on second floor.  Capacity breakdown: 1st fl - 48; 2nd fl - 28.,7283,LB-99178
215,,In one room and kitchen on first floor; additional kitchen and dining room in one room on basement level; entrance on Kingston Street  and Bedford Street  exits to Kingston and Bedford Street  basement for storage.  CAPACITY BREAKDOWN: 1ST FLOOR - 79; BASEMENT - 97.,7284,LB-99175
216,1.) BREAKFAST BEGINNING AT 6:00 A.M. 2.) ALCOHOL TO BE SERVED AFTER 11:00 A.M. MONDAY THROUGH SATURDAY. 3.) ALCOHOL TO BE SERVED AFTER 12:00 P.M. NOON ON SUNDAY. 13-PERSONS BAR STOOLS; 63-PERSONS TABLE  CHAIRS; 14-PERSONS STANDING. (REST INSIDE THE HOTEL),TWO ROOMS ON THE FIRST FLOOR WITH KITCHEN AND STORAGE AREA IN THE REAR; ONE ROOM IN BASEMENT FOR STORAGE.,7285,LB-99573
217,NONE,14B BIRCH STREET  ROSLINDALE  MA. 02131. IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE BASEMENT ALSO TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FROM APRIL THROUGH OCTOBER FOR 38 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.,7286,LB-99485
218,NONE,69 Bailey Street with 228 capacity at assembly  164 capacity at banquet room and 102 capacity in basement and rec. room.,7287,LB-98839
219,No transfer of ownership  Ch 1161  Acts of l973  License originally issued l974,In whole of said building.,7288,LB-98830
220,NONE,IN TWO (2) ROOMS WITH KITCHENS ON THE FIRST FLOOR; BASEMENT FOR STORAGE; TWO (2) ENTRANCES (151-155 BRIGHTON AVENUE) WITH EMERGENCY EXITS TO REAR. CAPACITY BREAKDOWN: BUK KYUNG - 62 PERSONS; REFUGE CAFE - 37 PERSONS.,7289,LB-99745
221,NONE,FIRST FLOOR MAIN FUNCTION HALL WITH BATHROOMS  KITCHEN  SERVICE BAR  STORAGE AND MEMBERS BAR AREA WITH MAIN ENTRANCE IN FRONT ON MEDFORD STREET  AND SECOND ENTRANCE EXIT AT REAR OF BUILDING ADJACENT TO MEMBERS BAR AREA.  MEZZANINE LEVEL WITH OFFICES AND CONFERENCE ROOMS. CAPACITY BREAKDOWN: 376 TOTA,7290,LB-98796
222,1) Alcoholicbeverages to be served only to diners or persons waiting to dine. 2) Trash to be stored inside. 3) Deliveries between 8 AM and 6 PM.,645-647 Tremont St.; Street level basement  street level cafe  dining room kitchen  storage and utility room  and an outdoor seasonal patio for ten (10) persons; and in two (2) rooms at 645 Tremont St. (adjoining space) with main entrance /exit on Tremont St. and exit in rear  storage  office and re,7291,LB-99213
223,A.) ALCOHOL WITH FOOD ONLY  B.) PATIO CLOSING HOUR: 10:00 PM,ON 2 FLOORS; IN 2 ROOMS ON THE FIRST FLOOR FOR DINING; ON BASEMENT FLOOR; KITCHEN AND PREP AREA  STORAGE UTILITY ROOM AND OFFICE AND TO INCLUDE AN OUTDOOR PATIO FOR 12 PATRONS ON PRIVATE PROPERTY.  Capacity breakdown: 1st fl - 74  basement - 34.,7292,LB-99500
224,,147-149 HANOVER STREET; ONE ROOM ON FIRST FLOOR  ONE ROOM ON SECOND FLOOR  KITCHEN AND STORAGE IN BASEMENT; EXITS AT 6 MARSHALL STREET AND 145 HANOVER STREET  ENTRANCES AT 147-149 HANOVER STREET.  CAPACITY BREAKDOWN: 1ST FL - 135; 2ND FL - 135.,7293,LB-99082
225,Food to be available at all times.,Rear emergency exit; in one room on the first floor; cellar for stock and enclose the porch as a part of room on first floor.,7294,LB-99308
226,NONE,380 Warren St.; rear door for stock; in one room first floor; cellar and first floor for stock.,7295,LB-99425
227,NONE,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 12 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 11:30 A.M. - 10:00 P.M.,7296,LB-99533
228,NONE,IN ONE ROOM AND KITCHEN FIRST FLOOR; IN ONE ROOM AND STORAGE IN BASEMENT.  CAPACITY BREAKDOWN: GROUND LEVEL - 230 (170 STANDING  60 SEATING)  LOWER LEVEL - 40 (20 STANDING  20 SEATING).,7297,LB-99363
229,1) 8:00 A.M. OPENING.2) SERVICE OF ALCOHOL TO BEGIN AT NOON. 3) CLOSING HOUR AT 2:00 A.M. ALL PATRONS MUST BE OFF PREMISES BY 2:30 A.M.4) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 5) NO BAR.,IN ONE ROOM ON THE FIRST FLOOR  WITH KITCHEN IN THE REAR  BASEMENT FOR STORAGE; ENTRANCE/EXIT ON SUMNER STREET; EXIT UNTO PARIS STREET.,7298,LB-99628
230,NONE,In one room first floor kitchen in the rear storage in the basement.,7299,LB-99587
231,NONE,IN ONE ROOM  PREP AREA AND STORAGE ON THE FIRST FLOOR,7300,LB-99748
232,,In one room on the first floor with food prep area; basement for stock; one room in the basement for patrons.  Capacity breakdown: 1st fl - 80; basement - 50.,7301,LB-99085
233,,Three rooms on the first floor  two rooms in basement plus kitchen area and stock room in basement with an outside patio with eight (8) tables and thirty-two (32) seats.,7302,LB-99086
234,96 Persons Seated; 4-Persons Standing; 7 Staff. Total of 107-Persons Inside.,IN TWO ROOMS FOR DINING ON FIRST FLOOR W/ BAR IN FRONT ROOM WITH 18 SEATS AND SERVICE BAR IN BACK ROOM WITH TWO ROOMS FOR KITCHEN  STORAGE IN REAR.  ALSO  TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 200 PATRONS; WITH A BAR WITH 38 SEATS AND A PORTABLE BAR FOR PRIVATE PARTIES BETWEEN,7303,LB-99799
235,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,IN ONE ROOM  KITCHEN AREA  FIRST FLOOR - CELLAR FOR STOCK.,7304,LB-99545
236,,800 Boylston St Prudential Center #155; In one room on first floor  kitchen in rear  storage in basement. 175 patrons inside (168 seating  7 standing)  also  outdoor seasonal patio  for 26 patrons  which will close at 10:00 p.m.,7305,LB-99378
237,,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 30 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - MIDNIGHT. (CAPACITY: 60 SEATED AND 60 STANDING.),7306,LB-99360
238,1.) Service of Alcohol on Sundays at 10:00 A.M. with brunch.,In six rooms on the first floor with kitchen service area and storage in the basement.,7307,LB-98894
239,Refer to document 45L for conditions  1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,In one room with kitchen on first floor; Function room on Mezzanine; Storage and kitchen preparation in basement with a front outside patio seating for 28 persons.,7308,LB-98932
240,NONE,ON ONE FLOOR WITHIN THE HYNES CONVENTION CENTER WITH ROOMS FOR DINING AND BAR  KITCHEN AND STORAGE.  MAIN ENTRANCE/EXIT LOCATED ON BOYLSTON STREET WITH ADDITIONAL ENTRANCES/EXITS LOCATED ON DALTON STREET AND THROUGH THE HYNES CONVENTION CENTER.  ALSO TO INCLUDE AN OUTDOOR PATIO FOR 32 PATRONS ON PRI,7309,LB-99142
241,,Rear exit to alleyway; in one room and kitchen on first floor; basement for stock,7310,LB-99099
242,1. No Bar  2. Malt and Wine with Liqueurs to be served only in conjunction with meals.,IN ONE ROOM WITH KITCHEN ON THE GROUND FLOOR  STORAGE IN BASEMENT.,7311,LB-99717
243,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH FOOD.,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN; BASEMENT FOR STORAGE.  AND TO INCLUDE A SEASONAL OUTDOOR PATIO WITH A TOTAL OF 300 SQUARE FEET ON PUBLIC PROPERTY FOR 10 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.,7312,LB-99531
244,NONE,The main dining area  with access to the basement  a kitchen and entrance at the street and an exit to the rear.  With a midnight closing hour.,7313,LB-99627
245,NONE,IN TWO ROOMS ON  FIRST FLOOR; KITCHEN AND STORAGE IN TWO ROOMS IN BASEMENT.  Capacity breakdown: 120 @ Emmetts; 120 @ 6-B Side.,7314,LB-99427
246,,Rear exit to parking lot for emergency; In one room and kitchen on first floor  cellar for stock.,7315,LB-99559
247,NONE,BASEMENT (+/-850 SF) USED FOR OFFICE AND STORAGE PURPOSES ONLY.  RESTAURANT ON ONE FLOOR  FIRST FLOOR OF A 19-STORY BUILDING.  OPEN CONCEPT RESTAURANT DINING (+/-1 389 SF) INCLUDING DINING SEATS FOR ONE HUNDRED FOUR (104) PATRONS  BAR AREA AND BAR DINING (+/-886 SF) FOR FORTY NINE (49) PATRONS.  ADD,7316,LB-99262
248,NONE,56 Harvard Avenue; In whole of said building.,7317,LB-98838
249,(1) WINES  MALT AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. (2) NO BAR. (3) ONLY FOOD SERVICE IS ALLOWED 24 HOURS. (4) ALCOHOL SERVICE TO BEGIN AT 10:00 A.M. WITH BRUNCH ON SUNDAYS.,TWO ROOMS AND KITCHEN FIRST FLOOR; FUNCTION ROOM AND STORE-OFF  IN BASEMENT.  Capacity breakdown: basement - 45; front dining rm - 61; rear dining rm - 92.,7318,LB-99796
250,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,7319,LB-99661
251,1.) PATIO TO CLOSE AT 11:00 P.M.  2.) ALCOHOL SERVED ONLY IN CONJUNCTION WITH FOOD ON THE PATIO.  3.) NO-ONE ADMITTED AFTER MIDNIGHT OTHER THAN REGISTERED GUESTS  OF THE HOTEL.  4.) BOARD TO BE NOTIFIED OF ANY ENTERTAINMENT LICENSE REQUEST.,In whole said building including adjacent restaurant space.  Hotel first floor dining (+/-2 312 SF) with seating for 90 persons and outdoor patio with seating for 30 persons. Hotel restaurant first floor (+/-1 343 SF) with seating for 100 persons and outdoor patio for 28 persons. Outdoor patio locat,7320,LB-101662
252,PATIO CONDITIONS: 1) MUST CLOSEAT 11:00 P.M.; 2) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS; AND3) MUSTBE STAFFED AT ALL TIMES.,REAR EMERGENCY EXIT AND REAR ENTRANCE FOR STOCK; IN TWO ROOMS ON FIRST FLOOR; CELLAR FOR STOCK AND  TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 20 PATRONS ON PRIVATE PROPERTY.,7321,LB-99287
253,1) NO BAR. 2) ALCOHOL ONLY WITH FOOD. 3) 2:00 A.M. FOR ALCOHOLIC BEVERAGES  4:00 A.M. FOR FOOD ONLY,One room on the mezzanine level for dining; One room on the first floor for dining; kitchen in the rear  One room on the second floor for dining; basement for storage.  Capacity breakdown: 1st fl - 144; 2nd fl - 360; mezzanine - 48.,7322,LB-99404
254,A.) MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS  B.) NO BAR  C.) 11:00 P.M. CLOSING,In two dining rooms on the first floor; kitchen in the rear  storage in the rear and in the basement,7323,LB-99608
255,NONE,STREET LEVEL ENTRY  ONE FLOOR. KITCHEN IN BACK. SECOND ENTRANCE IN BACK. COOLERS AND STORAGE DOWNSTAIRS.,7324,LB-99635
256,NONE,FOUR ROOMS ON FIRST FLOOR; KITCHEN IN THE REAR  BASEMENT FOR STORAGE AND TO INCLUDE AN OUTSIDE SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 44 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M. ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,7325,LB-99406
257,NONE,In whole of said building.,7326,LB-98811
258,,Rear exit for emergency and stock; In two rooms and kitchen first floor; cellar for stock.,7327,LB-99122
259,,Capacity breakdown: 1st fl - 133; 2nd fl - 75; basement - 89. IN WHOLE OF SAID BUILDING AND TO INCLUDE TWO (2) OUTDOOR PATIOS.  FRONT PATIO WITH SEATING FOR 76 PATRONS.  REAR PATIO WITH SEATING FOR 72.  PATIO HOURS OF OPERATION 11:30-11:00 PM.,7328,LB-99129
260,11:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,In building of 21 levels  occupies levels 3 thru 21 with storage on sublevel 3  main entrance/exit located on Avenue De LaFayette; entrance on level 3 to adjoin retail areas; emergency exits to Chauncy Street.  MANAGEMENT AGREEMENT APPROVED BY BLB AND ABCC BETWEEN CHSP TRS BOSTON II LLC AND,7329,LB-101643
261,1.) MALT  WINE AND LIQUEURS SERVED WITH FOOD ONLY.  2.) SERVICE BAR ONLY,CAFETERIA - STYLE RESTAURANT  LOCATED ON FIRST FLOOR  KITCHEN AT REAR  SAME LEVEL.  THUS  2 ROOMS ON FIRST FLOOR. SOME STORAGE IN BASEMENT.,7330,LB-99790
262,NONE,ENTRANCE FROM WASHINGTON STREET; ONE ROOM FIRST FLOOR  STOCK IN BASEMENT; REAR EXIT.,7331,LB-99110
263,NONE,Rear entrance from alley for stock; in two rooms and kitchen on first floor; cellar for stock.,7332,LB-99015
264,NONE,10 BOSTON WHARF ROAD; BOSTON  MA 02210-On first floor of a six (6) story building. Indoor dining including Dining Area (+/- 2 029 SF) with seating for one hundred twenty eight (128); PDR (+/- 514 SF) with seating for twenty four (24); Bar Dining (+/- 936 SF) with seating for twenty four (24); Bar ar,7333,LB-99235
265,NONE,In whole said of premises-comprising unit No. 1 in the Washington Oak Commercial Condominium. (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.),7334,LB-101652
266,1.Alcoholic beverages may be served only with a menu item in the dining room and on the outside patio. 2.Outdoor patio to close at 10 PM. 3.Opening hour of 11:30 AM on Sundays. 4.Closing hour of 2:00 AM on Friday and Saturday with a closing hour of 1:00 AM on the evenings of Sunday to Thursday,Etrce at 199 Clarendon St; exit into Lobby area of 500 Bo ston St; 1st. floor-one large dining room with separate partition -Capacity of 191 prs; a partition bar area with & an outside kitchen & stge area in rear 1st. floor outdoor patio located on corner of St. James Ave & Clarendon St capacity of,7335,LB-98950
267,NONE,ON TWO FLOORS; FIRST FLOOR EXHIBITION KITCHEN  BAR AND RESTAURANT SEATING FOR 117 PATRONS; 2ND FLOOR EXHIBITION KITCHEN  BAR AND PRIVATE DINING WITH SEATING FOR 243 PATRONS AND STORAGE AREA.  CAPACITY BREAKDOWN: 1 ST FL - 117 (78 SEATED  39 STANDING); 2ND FL - 243 (192 SEATED  51 STANDING).,7336,LB-99365
268,1) MAY START SERVICEOF ALCOHOLIC BEVERAGES ON SUNDAYS AT10:00 A.M. WITH BRUNCH.,In two rooms on the first floor; kitchen and storage in the rear  with seasonal outdoor dining in front of premises and satellite service bar on outdoor patio.,7337,LB-99408
269,,In two rooms and kitchen on first floor; cellar for stock.,7338,LB-99084
270,NONE,1420 SF Ground floor: Kitchen  counter  seating area & bathrooms. 1082 SF Mezzanine Level: Seating areas & bathrooms.,7339,LB-99785
271,1st floor-122 Persons Standing; 43-Persons Banquet Seating; 31- Persons Bar Stools; 48-Tables; Total 244 Persons; 2nd floor-105 Persons Standing; 15 Persons Bar Stools; 63 Persons Tables; Total 83;,ON TWO (2) FLOORS  KITCHEN ON FIRST FLOOR IN REAR  STORAGE IN BASEMENT.  FIRST AND SECOND FLOORS:  DINING ROOMS WITH BAR SEATING. TO INCLUED A SEASONAL OUTDOOR SIDEWALK PATIO WITH 26 SEATS BETWEEN THE HOURS OF NOON TO 11:00 P.M.,7340,LB-99443
272,NONE,IN ONE (1) LARGE ROOM ON FIRST FLOOR (INCLUDING DINING AREA  TWO (2) BARS AND LOUNGE) WITH KITCHEN IN REAR; PRIVATE DINING ROOM  BAR AND LOUNGE ON GROUND FLOOR/BASEMENT WITH STORAGE IN REAR; AND PRIVATE DINING ROOM ON SECOND FLOOR.  EXIT AND ENTRANCE ON WINTER PLACE  WITH EMERGENCY EXIT TO ALLEY IN,7341,LB-99311
273,NONE,IN ONE (1) MAIN ROOM WITH LOBBY  DINING AREA  BAR AND LOUNGE  KITCHEN AND STORAGE  OFFICE  TRASH AND RECEIVING; THREE (3) PRIVATE DINING ROOMS; TWO (2) ENTRANCES AND FIVE (5) TOTAL EXITS INCLUDING TWO (2) TO THE FRONT OF RESTAURANT AND TWO (2) TO THE REAR OF RESTAURANT; THREE TOTAL (3) BATHROOMS;,7342,LB-99051
274,,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,7343,LB-99527
275,1) UNIFORMED SECURITY GUARD MUST BE STATIONED IN FRONT OF PREMISES FROM 11:00 P.M. TO 1:00 A.M.; 2)GUARDMUST BE INSTRUCTED TO MOVE LOITERERS; 3) GUARDMUST BE INSTRUCTED TO CALL POLICE IF HE/SHE OBSERVES ANY ILLEGAL ACTIVITY; 4) DOOR MUST REMAIN CLOSED TO PREVENT NOISE; 5) LICENSEEMUST RESPOND TO NEIGHBORHOOD COMPLAINTS WITHIN 24 HOURS  MUST ATTEND BVNA MONTHLY MEETINGS; and 6) LICENSEEMUST MEET WITH BPD COMMUNITY LIASON ON A MONTHLY BASIS.,Exit onto Piedmont Street; In two rooms and office on first floor; One room and stockroom in basement.  Capacity breakdown: basement - 117; 1st fl - 171.,7344,LB-98962
276,WINES  MALT AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR.,IN ONE ROOM AND A KITCHEN ON THE FIRST FLOOR; STORAGE AND KITCHEN IN BASEMENT.,7345,LB-99768
